"","Name","Length","Color"
"1","Firefly Beetle",2.15031008049846,"Red"
"2","Dung Beetle",4.15322054177523,"Yellow"
"3","Jewel Beetle",2.6359076872468,"Red"
"4","Jewel Beetle",4.53206961601973,"Red"
"5","Firefly Beetle",4.76186913717538,"Blue"
"6","Ladybug",1.18222599755973,"Green"
"7","Stag Beetle",3.11242195218801,"Black"
"8","Jewel Beetle",4.56967617757618,"Black"
"9","Jewel Beetle",3.2057400578633,"Red"
"10","Dung Beetle",2.82645894121379,"Green"
"11","Jewel Beetle",4.82733338139951,"Yellow"
"12","Stag Beetle",2.81333662476391,"Red"
"13","Ladybug",3.71028254181147,"Green"
"14","Ladybug",3.29053360782564,"Blue"
"15","Firefly Beetle",1.41169873066247,"Yellow"
"16","Ladybug",4.59929988160729,"Black"
"17","Jewel Beetle",1.98435093741864,"Blue"
"18","Ladybug",1.16823813412338,"Red"
"19","Stag Beetle",2.31168287713081,"Red"
"20","Dung Beetle",4.81801459658891,"Black"
